,Id,Sentiment,Text Tweet,clean_teks,clean_teks2
116,117,positive,Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>,terimakasih ya gratis gnya ayo buru upgrade,"['terimakasih', 'ya', 'gratis', 'gnya', 'ayo', 'buru', 'upgrade']"
117,118,positive,"Upload video 1GB kurang dari 4 menit, memang mantab ini kecepatan <PROVIDER_NAME>",upload video gb menit mantab cepat,"['upload', 'video', 'gb', 'menit', 'mantab', 'cepat']"
118,119,positive,Dapat bonus kuota 2GB dan 100 menit nelpon ke semua operator dari <PROVIDER_NAME>  <PROVIDER_NAME> <PRODUCT_NAME> <URL> ,bonus kuota gb menit nelpon operator,"['bonus', 'kuota', 'gb', 'menit', 'nelpon', 'operator']"
119,120,positive,Kuota masih AMAN <PROVIDER_NAME> #capture #kuotaaman Di Kota Mamuju <URL> ,kuota aman capture kuotaaman kota mamuju,"['kuota', 'aman', 'capture', 'kuotaaman', 'kota', 'mamuju']"
120,121,positive,Masih ada yang hemat <PROVIDER_NAME>,hemat,['hemat']
121,122,positive,Pakai paket <PRODUCT_NAME> <PROVIDER_NAME> irit.  <PROVIDER_NAME> <PROVIDER_NAME> <URL> ,pakai paket irit,"['pakai', 'paket', 'irit']"
122,123,positive,"dibuang sayang karena terlalu setia, lagipula nomernya bagus  <PROVIDER_NAME> <PROVIDER_NAME> <URL> ",buang sayang setia lagipula nomernya bagus,"['buang', 'sayang', 'setia', 'lagipula', 'nomernya', 'bagus']"
123,124,positive,Baru merasakan segitu besarnya ping.. 36604 ribu lumayanlah buat bukber <PROVIDER_NAME> <PROVIDER_NAME>,rasa segitu besar ping ribu lumayan bukber,"['rasa', 'segitu', 'besar', 'ping', 'ribu', 'lumayan', 'bukber']"
124,125,positive,Itu yang pada nulis disertai hashtag <PROVIDER_NAME>Lemot hidupnya dimana sih? Saya di Ungaran sini kok pakai <PROVIDER_NAME> lancar2 aja tuh.,nulis serta hashtag provider namelemot hidup mana sih ungar pakai lancar aja tuh,"['nulis', 'serta', 'hashtag', 'provider namelemot', 'hidup', 'mana', 'sih', 'ungar', 'pakai', 'lancar', 'aja', 'tuh']"
125,126,positive,Makanya pakai <PROVIDER_NAME> 60 ribu dapet 9giga. <PROVIDER_NAME> <PROVIDER_NAME>dihack <PROVIDER_NAME> <PROVIDER_NAME>mahal,pakai ribu dapet giga provider namedihack provider namemahal,"['pakai', 'ribu', 'dapet', 'giga', 'provider namedihack', 'provider namemahal']"
126,127,positive,mending pindah ke <PROVIDER_NAME> aja <PROVIDER_NAME>,mending pindah aja,"['mending', 'pindah', 'aja']"
127,128,positive,"Saya pakai <PRODUCT_NAME> <PROVIDER_NAME> <PROVIDER_NAME> karena jelas, terjangkau .. pake <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME> gak jelas, mahal",pakai jangkau pake gak mahal,"['pakai', 'jangkau', 'pake', 'gak', 'mahal']"
128,129,positive,"Siapa yang mau ditelpon, mumpung ada gratisan nih ...  <PROVIDER_NAME>",telpon mumpung gratis nih,"['telpon', 'mumpung', 'gratis', 'nih']"
129,130,positive,Tumben <PROVIDER_NAME> murah hati padaKu #onlyForU Jangan2 semua pelanggan diginikan.,tumben murah hati pada onlyforu langgan diginikan,"['tumben', 'murah', 'hati', 'pada', 'onlyforu', 'langgan', 'diginikan']"
130,131,positive,"Canggih nih, nambah hari malah nambah kuotanya . #kuota <PROVIDER_NAME> <PRODUCT_NAME> #4g <URL> ",canggih nih nambah nambah kuota kuota g,"['canggih', 'nih', 'nambah', 'nambah', 'kuota', 'kuota', 'g']"
131,132,positive,<PROVIDER_NAME> PENUH DENGAN BONUS <PROVIDER_NAME> ,penuh bonus,"['penuh', 'bonus']"
132,133,positive,"Sinyal <PROVIDER_NAME> hebat, sampai puncak Halimun masih tetap on, mantap ",sinyal hebat puncak halimun on mantap,"['sinyal', 'hebat', 'puncak', 'halimun', 'on', 'mantap']"
133,134,positive,Nelpon 1.000 Dapat kouta 1gb,nelpon kouta gb,"['nelpon', 'kouta', 'gb']"
134,135,positive,Makin betah aja sama kamu..  :v   #operator  :v <PROVIDER_NAME> ,betah aja v operator v,"['betah', 'aja', 'v', 'operator', 'v']"
135,136,positive,lumayan ini murah meriah <PROVIDER_NAME> ,lumayan murah riah,"['lumayan', 'murah', 'riah']"
136,137,positive,"WOW, Saya baru mendapatkan hadiah fantastis dari <PRODUCT_NAME>! <PRODUCT_NAME> membuat semuanya jadi simpel <URL>  <PROVIDER_NAME>",wow hadiah fantastis simpel,"['wow', 'hadiah', 'fantastis', 'simpel']"
137,138,positive,"Cuma Modal Isi Pulsa 10ribu dapet 2GB Gratis dari <PROVIDER_NAME> :v Tumben Lagi baik, semoga Promonya makin murah murah <PROVIDER_NAME> :D . . <PROVIDER_NAME>",modal isi pulsa ribu dapet gb gratis v tumben moga promonya murah murah d,"['modal', 'isi', 'pulsa', 'ribu', 'dapet', 'gb', 'gratis', 'v', 'tumben', 'moga', 'promonya', 'murah', 'murah', 'd']"
138,139,positive,Ajaib min <PROVIDER_NAME> kartu saya bisa diisi pulsa & digunakan kembali.. terimakasih ya <PROVIDER_NAME>,ajaib min kartu isi pulsa terimakasih ya,"['ajaib', 'min', 'kartu', 'isi', 'pulsa', 'terimakasih', 'ya']"
139,140,positive,Mantap deh <PROVIDER_NAME>. Cuma isi pulsa 25ribu dapat bonus paket data 3GB. Terimakasih juga <PROVIDER_NAME> atas pelayanannya. <PROVIDER_NAME> #mantapjiwa,mantap deh isi pulsa ribu bonus paket data gb terimakasih layan mantapjiwa,"['mantap', 'deh', 'isi', 'pulsa', 'ribu', 'bonus', 'paket', 'data', 'gb', 'terimakasih', 'layan', 'mantapjiwa']"
140,141,positive,terimakasih paket data sudah aktif  dan normal. terimakasih <PROVIDER_NAME> cukup puas dengan pelayanannya. <PROVIDER_NAME> <PROVIDER_NAME>,terimakasih paket data aktif normal terimakasih puas layan,"['terimakasih', 'paket', 'data', 'aktif', 'normal', 'terimakasih', 'puas', 'layan']"
141,142,positive,banyak Perusahaan melupakan hal ini & banyak konsumen menghapus pesan tanpa membacanya menyalahkan padahal sudah diingatkan thanks <PROVIDER_NAME> ,usaha lupa konsumen hapus pesan baca salah thanks,"['usaha', 'lupa', 'konsumen', 'hapus', 'pesan', 'baca', 'salah', 'thanks']"
142,143,positive,Terima kasih <PROVIDER_NAME> !! <PROVIDER_NAME>,terima kasih,"['terima', 'kasih']"
143,144,positive,Hore....<PROVIDER_NAME> Ada sinyal.....thanks <PROVIDER_NAME> .... <PROVIDER_NAME> ,horeprovider name sinyalthanks,"['horeprovider name', 'sinyalthanks']"
144,145,positive,Alhamdulillah sambil nunggu subuh bisa melihat lantunan Adhan Styles dari Mekah dan Madinah dengan jelas karena paket Internet <PROVIDER_NAME> saya bagus,alhamdulillah nunggu subuh lantun adhan styles mekah madinah paket internet bagus,"['alhamdulillah', 'nunggu', 'subuh', 'lantun', 'adhan', 'styles', 'mekah', 'madinah', 'paket', 'internet', 'bagus']"
145,146,positive,"Dengan <PROVIDER_NAME> juga bisa lihat youtube selama setahun tanpa kuota, makin keren aja. ",lihat youtube tahun kuota keren aja,"['lihat', 'youtube', 'tahun', 'kuota', 'keren', 'aja']"
146,147,positive,Dengan jaringan 4G super cepat dari <PROVIDER_NAME> smartphone kamu terus terkoneksi dan bisa pantau aktivitas di sosial media :,jaringan g super cepat smartphone koneksi pantau aktivitas sosial media,"['jaringan', 'g', 'super', 'cepat', 'smartphone', 'koneksi', 'pantau', 'aktivitas', 'sosial', 'media']"
147,148,positive,Menggunakan medsos harus sebijak mungkin. Apalagi ada fasilitas makin oke kayak FB gratis 30MB & free YouTube/Yonder/Genflix dari <PROVIDER_NAME>,medsos bijak fasilitas oke kayak fb gratis mb free youtubeyondergenflix,"['medsos', 'bijak', 'fasilitas', 'oke', 'kayak', 'fb', 'gratis', 'mb', 'free', 'youtubeyondergenflix']"
148,149,positive,"pagi itu, menyegarkan mata selain lari2 kecil, bisa juga dengan nikmatin internet, atau nelpon yang super murah, suara jernih pake <PROVIDER_NAME>. gitu!",pagi segar mata lari nikmatin internet nelpon super murah suara jernih pake gitu,"['pagi', 'segar', 'mata', 'lari', 'nikmatin', 'internet', 'nelpon', 'super', 'murah', 'suara', 'jernih', 'pake', 'gitu']"
149,150,positive,"Buka puasa sambil streaming di YouTube lancar banget pake <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.",buka puasa streaming youtube lancar banget pake setia,"['buka', 'puasa', 'streaming', 'youtube', 'lancar', 'banget', 'pake', 'setia']"
150,151,positive,Selain jaringan 4G <PROVIDER_NAME> yang sangat luas temanku juga bisa nelpon ke operator lain secara gratis & suaranya juga jernih banget,jaringan g luas teman nelpon operator gratis suara jernih banget,"['jaringan', 'g', 'luas', 'teman', 'nelpon', 'operator', 'gratis', 'suara', 'jernih', 'banget']"
151,152,positive,Koneksi internet <PROVIDER_NAME> yg lancar sangat  membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.,koneksi internet yg lancar bantu selesai pekerjaaan jumat weekend,"['koneksi', 'internet', 'yg', 'lancar', 'bantu', 'selesai', 'pekerjaaan', 'jumat', 'weekend']"
152,153,negative,ayo penuhi viralkan keras #Boikot<PROVIDER_NAME>! Nomor sy nomer <PROVIDER_NAME> cantik dr th2007 lgsg sy buang!Jgn main2 dg umat Islam yg brsatu,ayo penuh viralkan keras nomor sy nomer cantik dr th lgsg sy buangjgn main dg umat islam yg brsatu,"['ayo', 'penuh', 'viralkan', 'keras', 'nomor', 'sy', 'nomer', 'cantik', 'dr', 'th', 'lgsg', 'sy', 'buangjgn', 'main', 'dg', 'umat', 'islam', 'yg', 'brsatu']"
153,154,negative,AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 <URL>,ayo buang kartu ruh,"['ayo', 'buang', 'kartu', 'ruh']"
154,155,negative,"Selama ini saya pake <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME>",pake insya allah paket kuota habis ganti operator,"['pake', 'insya', 'allah', 'paket', 'kuota', 'habis', 'ganti', 'operator']"
155,156,negative,CEO <PROVIDER_NAME> harus bertanggung jawab. Sudah ada counter perdana HP berhenti jual perdana <PROVIDER_NAME> #Boikot<PROVIDER_NAME>,ceo tanggung counter perdana hp henti jual perdana,"['ceo', 'tanggung', 'counter', 'perdana', 'hp', 'henti', 'jual', 'perdana']"
156,157,negative,Biar jadi pelajaran buat yang lain... Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! #Boikot<PROVIDER_NAME>,biar ajar pakai produk,"['biar', 'ajar', 'pakai', 'produk']"
157,158,negative,"kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering nyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa",boikot ya nyedot pulsa ga tau dipake sms bayar bonus maksa,"['boikot', 'ya', 'nyedot', 'pulsa', 'ga', 'tau', 'dipake', 'sms', 'bayar', 'bonus', 'maksa']"
158,159,positive,Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL>,lumayan speedtest jaringan glte area tarogong garut muas,"['lumayan', 'speedtest', 'jaringan', 'glte', 'area', 'tarogong', 'garut', 'muas']"
159,160,negative,Uji kecepatan <PRODUCT_NAME> #opensignal-ku di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek,uji cepat opensignalku g jelek,"['uji', 'cepat', 'opensignalku', 'g', 'jelek']"
160,161,negative,Tolong di urus segera saya ga mau bayar data yang saya ga dapet datanya <PROVIDER_NAME> <PROVIDER_NAME>,tolong urus ga bayar data ga dapet data,"['tolong', 'urus', 'ga', 'bayar', 'data', 'ga', 'dapet', 'data']"
161,162,positive,Nonton gratis dibayarin <PROVIDER_NAME> poin  <PROVIDER_NAME> <PROVIDER_NAME>poin #passengers…,nonton gratis dibayarin poin provider namepoin passengers,"['nonton', 'gratis', 'dibayarin', 'poin', 'provider namepoin', 'passengers']"
162,163,positive,Makasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME> mu,makasih ya gratis gnya ayo buru upgrade mu,"['makasih', 'ya', 'gratis', 'gnya', 'ayo', 'buru', 'upgrade', 'mu']"
163,164,positive,Makan malam gratis hari ini hasil tuker <PROVIDER_NAME> Poin  #7eleven #sevel <PROVIDER_NAME>… <URL>,makan malam gratis hasil tuker poin eleven sevel,"['makan', 'malam', 'gratis', 'hasil', 'tuker', 'poin', 'eleven', 'sevel']"
164,165,negative,"Mohon di up jaringan 4G di wilayah Morowali, sangat buruk..  <PROVIDER_NAME> <PROVIDER_NAME>",mohon up jaringan g wilayah morowali buruk,"['mohon', 'up', 'jaringan', 'g', 'wilayah', 'morowali', 'buruk']"
165,166,negative,Jaringan <PROVIDER_NAME> di Waru Atas arae Site WKP tidak dapat digunakan untuk telpon mohon cek Team <PROVIDER_NAME> ,jaringan waru arae site wkp telpon mohon cek team,"['jaringan', 'waru', 'arae', 'site', 'wkp', 'telpon', 'mohon', 'cek', 'team']"
166,167,negative,Semakin hari kualitas dan pelayanannya semakin buruk. Selama 5 bulan melakukan pelaporan namun tidak ada tindakan perbaikan. <PROVIDER_NAME>,kualitas layan buruk lapor tindak baik,"['kualitas', 'layan', 'buruk', 'lapor', 'tindak', 'baik']"
167,168,negative,<PROVIDER_NAME> tolong jaringan di MUARA KAMAN diperbaiki... BBM aja ga bisa ngakses...menyambungkan melulu... sudah 3 minggu lebih,tolong jaringan muara kam baik bbm aja ga ngaksesmenyambungkan melulu minggu,"['tolong', 'jaringan', 'muara', 'kam', 'baik', 'bbm', 'aja', 'ga', 'ngaksesmenyambungkan', 'melulu', 'minggu']"
168,169,negative,Uji kecepatan NYATA  di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek,uji cepat nyata g jelek,"['uji', 'cepat', 'nyata', 'g', 'jelek']"
169,170,negative,Tolong diurus segera saya ga mau bayar data yang saya ga dapat datanya <PROVIDER_NAME> <PROVIDER_NAME>,tolong urus ga bayar data ga data,"['tolong', 'urus', 'ga', 'bayar', 'data', 'ga', 'data']"
170,171,positive,Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL> ,lumayan speedtest jaringan glte area tarogong garut muas,"['lumayan', 'speedtest', 'jaringan', 'glte', 'area', 'tarogong', 'garut', 'muas']"
171,172,positive,Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>,terimakasih ya gratis gnya ayo buru upgrade,"['terimakasih', 'ya', 'gratis', 'gnya', 'ayo', 'buru', 'upgrade']"
172,173,positive,Makan malam gratis hari ini hasil tukar <PROVIDER_NAME> Poin   <PROVIDER_NAME>… <URL>,makan malam gratis hasil tukar poin,"['makan', 'malam', 'gratis', 'hasil', 'tukar', 'poin']"
173,174,negative,ayo viralkan keras #Boikot<PROVIDER_NAME>! Nomor saya nomer <PROVIDER_NAME> cantik dari tahun 2007 saya buang! Jangan main2 dengan umat Islam yang brsatu,ayo viralkan keras nomor nomer cantik buang main umat islam brsatu,"['ayo', 'viralkan', 'keras', 'nomor', 'nomer', 'cantik', 'buang', 'main', 'umat', 'islam', 'brsatu']"
174,175,negative,AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 ,ayo buang kartu ruh,"['ayo', 'buang', 'kartu', 'ruh']"
175,176,negative,"Selama ini saya pakai <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME> ",pakai insya allah paket kuota habis ganti operator,"['pakai', 'insya', 'allah', 'paket', 'kuota', 'habis', 'ganti', 'operator']"
176,177,negative,"kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering menyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa",boikot ya sedot pulsa ga tau dipake sms bayar bonus maksa,"['boikot', 'ya', 'sedot', 'pulsa', 'ga', 'tau', 'dipake', 'sms', 'bayar', 'bonus', 'maksa']"
177,178,positive,"Buka puasa sambil streaming di YouTube lancar banget pakai <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.",buka puasa streaming youtube lancar banget pakai setia,"['buka', 'puasa', 'streaming', 'youtube', 'lancar', 'banget', 'pakai', 'setia']"
178,179,positive,Koneksi internet <PROVIDER_NAME> yang lancar sangat  membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.,koneksi internet lancar bantu selesai pekerjaaan jumat weekend,"['koneksi', 'internet', 'lancar', 'bantu', 'selesai', 'pekerjaaan', 'jumat', 'weekend']"
179,180,negative,<PROVIDER_NAME> kamu kenapa sinyalnya php <PROVIDER_NAME>,sinyal php,"['sinyal', 'php']"
180,181,negative,Koneksi internet yang sangat menjengkelkan. <PROVIDER_NAME>  #lemot ,koneksi internet jengkel lot,"['koneksi', 'internet', 'jengkel', 'lot']"
181,182,positive,"<PROVIDER_NAME> Nelpon lebih murah pake JS, kurang dari Rp1/detik. <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME>",nelpon murah pake js rpdetik,"['nelpon', 'murah', 'pake', 'js', 'rpdetik']"
182,183,positive,"Terima kasih PT <PROVIDER_NAME> , kiriman GRATIS <PROVIDER_NAME> Home-nya sudah tiba.",terima kasih pt kirim gratis homenya,"['terima', 'kasih', 'pt', 'kirim', 'gratis', 'homenya']"
183,184,positive,Kualitas sinyal 4G <PROVIDER_NAME> ikut melengkapi meriahnya festival tersebut. ,kualitas sinyal g lengkap riah festival,"['kualitas', 'sinyal', 'g', 'lengkap', 'riah', 'festival']"
184,185,positive,saya pindah ke <PROVIDER_NAME> yang memang sudah terbukti,pindah bukti,"['pindah', 'bukti']"
185,186,negative,Ini sinyal H+ palsu. Seperti H+ rasa edge. <PROVIDER_NAME> <PROVIDER_NAME> ,sinyal h palsu h edge,"['sinyal', 'h', 'palsu', 'h', 'edge']"
186,187,negative,Pelanggan <PROVIDER_NAME> <PROVIDER_NAME> yg ada di area #Pandeglangkota dirugikan krn jaringan telponnya rusak dan tidak diperbaiki,langgan yg area pandeglangkota rugi krn jaringan telpon rusak baik,"['langgan', 'yg', 'area', 'pandeglangkota', 'rugi', 'krn', 'jaringan', 'telpon', 'rusak', 'baik']"
187,188,negative, Hati-hati Tukang Tipu!! <PROVIDER_NAME>,hatihati tukang tipu,"['hatihati', 'tukang', 'tipu']"
188,189,negative,Sedih. Pakai <PROVIDER_NAME> 4G gak stabil.,sedih pakai g gak stabil,"['sedih', 'pakai', 'g', 'gak', 'stabil']"
189,190,negative,Jarigan <PROVIDER_NAME> lelet. Karena gangguan atau rusak ya,jarigan lelet ganggu rusak ya,"['jarigan', 'lelet', 'ganggu', 'rusak', 'ya']"
190,191,negative,"Daerah Jagakarsa, pakai <PROVIDER_NAME> sinyalnya jelek, yang satu H+ gak dapat 4G, yang satu dapat 4G tapi gak ada sinyal?",daerah jagakarsa pakai sinyal jelek h gak g g gak sinyal,"['daerah', 'jagakarsa', 'pakai', 'sinyal', 'jelek', 'h', 'gak', 'g', 'g', 'gak', 'sinyal']"
191,192,negative,<PROVIDER_NAME> cacat,cacat,['cacat']
192,193,positive,Ini baru #koneksi #internet #4g <PROVIDER_NAME> <URL> ,koneksi internet g,"['koneksi', 'internet', 'g']"
193,194,positive,<PROVIDER_NAME> BagiBerkah ...gak ada kata susah ..cukup sekali sentuh jadi mudah dan berfaedah,bagiberkah gak susah sentuh mudah faedah,"['bagiberkah', 'gak', 'susah', 'sentuh', 'mudah', 'faedah']"
194,195,negative,<PROVIDER_NAME> tumbang di kota Semarang,tumbang kota semarang,"['tumbang', 'kota', 'semarang']"
195,196,negative,Kuotaku masih banyak internetan aja gak bisa <PROVIDER_NAME> <PROVIDER_NAME>Care <PROVIDER_NAME> ,kuota internetan aja gak provider namecare,"['kuota', 'internetan', 'aja', 'gak', 'provider namecare']"
196,197,negative,Selalu Lemot <PROVIDER_NAME>,lot,['lot']
197,198,positive,<PROVIDER_NAME> BerbagiBerkah karena berbagi itu menyenangkan apalagi sama orang yang kita sayangi.,berbagiberkah bagi senang orang sayang,"['berbagiberkah', 'bagi', 'senang', 'orang', 'sayang']"
198,199,positive,Santai pakai <PROVIDER_NAME> <PROVIDER_NAME>4G <PROVIDER_NAME>BagiBerkah bisa diandalkan,santai pakai provider nameg provider namebagiberkah andal,"['santai', 'pakai', 'provider nameg', 'provider namebagiberkah', 'andal']"
199,200,positive,banyak yang masih setia memggunakan <PROVIDER_NAME>,setia memggunakan,"['setia', 'memggunakan']"
200,201,positive,"Yang saya pengen <PROVIDER_NAME> selangkah lebih maju dari yang lain baik layanan ataupun jaringan 3G atau 4G,",ken selang maju layan jaringan g g,"['ken', 'selang', 'maju', 'layan', 'jaringan', 'g', 'g']"
201,202,positive,Yuk pakai <PROVIDER_NAME> Rp1 gratis 1GB,yuk pakai rp gratis gb,"['yuk', 'pakai', 'rp', 'gratis', 'gb']"
202,203,positive,Lebaran tetap pakai <PROVIDER_NAME> yaa #Rp1 gratis 1GB,lebaran pakai yaa rp gratis gb,"['lebaran', 'pakai', 'yaa', 'rp', 'gratis', 'gb']"
203,204,positive,sinyal 4G <PROVIDER_NAME> dipalembang lancar,sinyal g dipalembang lancar,"['sinyal', 'g', 'dipalembang', 'lancar']"
204,205,positive,Keren di rembang ada sinyal 4G <PROVIDER_NAME>,keren rembang sinyal g,"['keren', 'rembang', 'sinyal', 'g']"
205,206,positive,sinyal <PROVIDER_NAME> kuat banget,sinyal kuat banget,"['sinyal', 'kuat', 'banget']"
206,207,positive,4G <PROVIDER_NAME> dapat banget disini,g banget,"['g', 'banget']"
207,208,positive,"Berkat <PROVIDER_NAME> mudiknya jd nyaman,mampir ke posko pun senang..",berkat mudik jd nyamanmampir posko senang,"['berkat', 'mudik', 'jd', 'nyamanmampir', 'posko', 'senang']"
208,209,positive,Terimakasih <PROVIDER_NAME>,terimakasih,['terimakasih']
209,210,positive,untungnya sudah pakai <PROVIDER_NAME>,untung pakai,"['untung', 'pakai']"
210,211,positive,Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. terbaik,alhamdulillah setia baik,"['alhamdulillah', 'setia', 'baik']"
211,212,positive,"<PROVIDER_NAME> memang jauh lebih murah dari <PROVIDER_NAME>, banyak bonusnya lagi",murah bonus,"['murah', 'bonus']"
212,213,negative,RT <USER_MENTION>: Buat <PROVIDER_NAME> setelah kuota habis saya mau ganti provider  ,rt kuota habis ganti provider,"['rt', 'kuota', 'habis', 'ganti', 'provider']"
213,214,negative,<PROVIDER_NAME> memang jancok! sinyal payah,jancok sinyal payah,"['jancok', 'sinyal', 'payah']"
214,215,negative,saya paling tidak pernah pakai  <PROVIDER_NAME>,pakai,['pakai']
215,216,negative,RT <USER_MENTION>: Belum ada permintaan maaf dan pernyataan apapun?  Lanjut boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME> <URL>,rt minta maaf nyata apa boikot,"['rt', 'minta', 'maaf', 'nyata', 'apa', 'boikot']"
216,217,negative,<PROVIDER_NAME> masa kuota malam saya sudah habis duluan? Logikanya dimana? <URL>,kuota malam habis duluan logika mana,"['kuota', 'malam', 'habis', 'duluan', 'logika', 'mana']"
217,218,negative,"RT <USER_MENTION>: <PROVIDER_NAME> ini <PROVIDER_NAME> di sini jaringan 4G nya penuh, cuma ga mau konek ke internet...",rt jaringan g nya penuh ga konek internet,"['rt', 'jaringan', 'g', 'nya', 'penuh', 'ga', 'konek', 'internet']"
218,219,positive,Sinyal 4g nya stabil nih. mantap <PROVIDER_NAME> <URL>,sinyal g nya stabil nih mantap,"['sinyal', 'g', 'nya', 'stabil', 'nih', 'mantap']"
219,220,negative,"Fungsinya data lokal, 4G sama Flash apa? Toh mau 4G atau 3G yang terpakai duluan data lokalnya. mahal lagi. <PROVIDER_NAME>",fungsi data lokal g flash g g pakai duluan data lokal mahal,"['fungsi', 'data', 'lokal', 'g', 'flash', 'g', 'g', 'pakai', 'duluan', 'data', 'lokal', 'mahal']"
220,221,positive,"Hore, dapat makan malam gratis hari ini karena <PROVIDER_NAME> Poin  #7eleven #sevel <PROVIDER_NAME>… <URL>",hore makan malam gratis poin eleven sevel,"['hore', 'makan', 'malam', 'gratis', 'poin', 'eleven', 'sevel']"
221,222,negative,"Wajar saja <PROVIDER_NAME> dihack, harga mahal banget dan koneksi lambat lagi <PROVIDER_NAME>mahal <PROVIDER_NAME> ",wajar dihack harga mahal banget koneksi lambat provider namemahal,"['wajar', 'dihack', 'harga', 'mahal', 'banget', 'koneksi', 'lambat', 'provider namemahal']"
222,223,positive,*ganti* paket <PROVIDER_NAME>  5Gb langsung lancar dan #TransaksiNormal,ganti paket gb langsung lancar transaksinormal,"['ganti', 'paket', 'gb', 'langsung', 'lancar', 'transaksinormal']"
223,224,negative,Selalu saja ada masalah #Indonesia <PROVIDER_NAME> #konsumen <USER_MENTION>,indonesia konsumen,"['indonesia', 'konsumen']"
224,225,positive,Alhamdulillah gratisan youtube dari <PROVIDER_NAME> pada bulan Ramadhan ini berfaedah sekali.,alhamdulillah gratis youtube ramadhan faedah,"['alhamdulillah', 'gratis', 'youtube', 'ramadhan', 'faedah']"
225,226,negative,<PROVIDER_NAME> KENAPA. sinyal hilang mulu,sinyal hilang mulu,"['sinyal', 'hilang', 'mulu']"
226,227,negative,Data yang sama sekali tidak ada manfaatnya.  <PROVIDER_NAME> <URL> …,data manfaat,"['data', 'manfaat']"
227,228,negative,<PROVIDER_NAME> goblok banget sih sekarang <PROVIDER_NAME> #jadimurahan ,goblok banget sih jadimurahan,"['goblok', 'banget', 'sih', 'jadimurahan']"
228,229,negative,Padahal udah settingan 3G tapi kenapa kuota 3G tidak bisa dipakai malah menguras pulsa yaa? #Tanya <PROVIDER_NAME>,udah settingan g kuota g pakai uras pulsa yaa,"['udah', 'settingan', 'g', 'kuota', 'g', 'pakai', 'uras', 'pulsa', 'yaa']"
229,230,negative,Sudah mahal sinyalnya jelek lagi... <PROVIDER_NAME> bangsat anjing...,mahal sinyal jelek bangsat anjing,"['mahal', 'sinyal', 'jelek', 'bangsat', 'anjing']"
230,231,negative,Jeleknya jaringan internet. <PROVIDER_NAME>,jelek jaringan internet,"['jelek', 'jaringan', 'internet']"
231,232,negative,Cuma di area Pandeglang kota.. jaringan <PROVIDER_NAME> buruk jelek. Kejadian ini sudah berlangsung sebulan lamanya. <PROVIDER_NAME>Care <PROVIDER_NAME>payah <PROVIDER_NAME> harus dihack,area pandeglang kota jaringan buruk jelek jadi bulan provider namecare provider namepayah dihack,"['area', 'pandeglang', 'kota', 'jaringan', 'buruk', 'jelek', 'jadi', 'bulan', 'provider namecare', 'provider namepayah', 'dihack']"
232,233,negative,"benar2 kacau. Baru isi kuota, datanya langsung habis. <PROVIDER_NAME> ",kacau isi kuota data langsung habis,"['kacau', 'isi', 'kuota', 'data', 'langsung', 'habis']"
233,234,positive,<PROVIDER_NAME> ayo kamu bisa,ayo,['ayo']
234,235,positive,Mending ngopi nyantai sambil dengar musik klasik di youtube gratis dari jaringan <PROVIDER_NAME> yang keren,mending ngopi nyantai dengar musik klasik youtube gratis jaringan keren,"['mending', 'ngopi', 'nyantai', 'dengar', 'musik', 'klasik', 'youtube', 'gratis', 'jaringan', 'keren']"
